,date,region,min,max
293,3/5/20,Iran_nan,-1.4,14.6
294,3/6/20,Iran_nan,-0.9,18.7
295,3/7/20,Iran_nan,1.8,18.7
296,3/8/20,Iran_nan,5.1,14.2
297,3/9/20,Iran_nan,1.6,10.2
298,3/10/20,Iran_nan,-2.1,11.2
299,3/11/20,Iran_nan,-3.7,16.2
300,3/12/20,Iran_nan,1.5,19.2
301,3/13/20,Iran_nan,2.0,20.1
302,3/14/20,Iran_nan,8.0,18.0
303,3/15/20,Iran_nan,8.8,14.1
304,3/16/20,Iran_nan,3.6,16.5
305,3/17/20,Iran_nan,5.3,19.0
306,3/18/20,Iran_nan,5.1,14.0
307,3/19/20,Iran_nan,6.7,17.3
308,3/20/20,Iran_nan,3.1,18.0
309,3/21/20,Iran_nan,2.7,16.9
310,3/22/20,Iran_nan,3.1,10.7
311,3/23/20,Iran_nan,-0.4,7.3
312,3/24/20,Iran_nan,2.1,9.5
313,3/25/20,Iran_nan,4.9,12.4
314,3/26/20,Iran_nan,2.1,12.3
315,3/27/20,Iran_nan,4.0,14.4
316,3/28/20,Iran_nan,7.1,12.9
317,3/29/20,Iran_nan,3.8,9.7
318,3/30/20,Iran_nan,4.8,14.6
319,3/31/20,Iran_nan,5.4,15.0
320,4/1/20,Iran_nan,3.3,19.0
321,4/2/20,Iran_nan,8.9,18.1
322,4/3/20,Iran_nan,8.5,19.3
323,4/4/20,Iran_nan,7.3,20.9
324,4/5/20,Iran_nan,8.4,20.8
325,4/6/20,Iran_nan,4.8,19.8
326,4/7/20,Iran_nan,8.9,23.4
327,4/8/20,Iran_nan,10.8,20.7
328,4/9/20,Iran_nan,6.8,19.1
329,4/10/20,Iran_nan,10.1,14.3
330,4/11/20,Iran_nan,9.2,15.3
331,4/12/20,Iran_nan,11.3,18.1
332,4/13/20,Iran_nan,6.7,19.1
333,4/14/20,Iran_nan,4.8,17.3
334,4/15/20,Iran_nan,6.1,18.5
335,4/16/20,Iran_nan,7.7,17.8
336,4/17/20,Iran_nan,7.5,18.5
337,4/18/20,Iran_nan,5.9,18.8
338,4/19/20,Iran_nan,8.6,19.8
339,4/20/20,Iran_nan,8.9,21.1
340,4/21/20,Iran_nan,10.4,23.3
341,4/22/20,Iran_nan,9.7,16.4
342,4/23/20,Iran_nan,8.4,21.9
343,4/24/20,Iran_nan,10.4,24.4
344,4/25/20,Iran_nan,10.0,25.0
345,4/26/20,Iran_nan,16.2,21.1
346,4/27/20,Iran_nan,13.3,21.4
347,4/28/20,Iran_nan,7.0,22.1
348,4/29/20,Iran_nan,8.2,13.7
349,4/30/20,Iran_nan,6.5,11.7
350,5/1/20,Iran_nan,5.5,21.9
351,5/2/20,Iran_nan,11.8,22.9
352,5/3/20,Iran_nan,14.5,24.0
353,5/4/20,Iran_nan,11.3,25.0
354,5/5/20,Iran_nan,10.6,27.2
355,5/6/20,Iran_nan,15.3,24.5
356,5/7/20,Iran_nan,16.7,27.1
357,5/8/20,Iran_nan,12.3,26.6
358,5/9/20,Iran_nan,11.1,26.2
359,5/10/20,Iran_nan,14.2,25.5
360,5/11/20,Iran_nan,15.9,26.8
361,5/12/20,Iran_nan,11.7,26.8
362,5/13/20,Iran_nan,12.1,23.0
363,5/14/20,Iran_nan,8.0,26.0
364,5/15/20,Iran_nan,9.0,26.0
365,5/16/20,Iran_nan,10.0,27.0
366,5/17/20,Iran_nan,10.0,29.0
367,5/18/20,Iran_nan,11.0,29.0
368,5/19/20,Iran_nan,13.0,29.0
369,5/20/20,Iran_nan,13.0,26.0
370,5/21/20,Iran_nan,10.0,27.0
371,5/22/20,Iran_nan,10.0,29.0
372,5/23/20,Iran_nan,10.0,31.0
373,5/24/20,Iran_nan,13.0,29.0
374,5/25/20,Iran_nan,11.0,31.0
375,1/22/20,Italy_nan,3.4,10.9
376,1/23/20,Italy_nan,4.3,12.0
377,1/24/20,Italy_nan,4.3,9.8
378,1/25/20,Italy_nan,6.8,10.5
379,1/26/20,Italy_nan,4.5,10.6
380,1/27/20,Italy_nan,3.6,10.5
381,1/28/20,Italy_nan,6.2,12.1
382,1/29/20,Italy_nan,4.2,10.2
383,1/30/20,Italy_nan,3.0,11.1
384,1/31/20,Italy_nan,7.0,9.5
385,2/1/20,Italy_nan,7.6,11.5
386,2/2/20,Italy_nan,8.3,14.1
387,2/3/20,Italy_nan,7.3,14.1
388,2/4/20,Italy_nan,4.4,12.4
389,2/5/20,Italy_nan,0.8,8.0
390,2/6/20,Italy_nan,0.2,7.0
391,2/7/20,Italy_nan,0.7,9.9
392,2/8/20,Italy_nan,1.8,9.7
393,2/9/20,Italy_nan,2.9,10.6
394,2/10/20,Italy_nan,6.6,13.4
395,2/11/20,Italy_nan,7.6,15.0
396,2/12/20,Italy_nan,5.1,13.0
397,2/13/20,Italy_nan,3.9,11.0
398,2/14/20,Italy_nan,6.1,13.3
399,2/15/20,Italy_nan,5.1,13.0
400,2/16/20,Italy_nan,5.2,13.8
401,2/17/20,Italy_nan,4.8,13.0
402,2/18/20,Italy_nan,0.6,12.2
403,2/19/20,Italy_nan,5.0,10.5
404,2/20/20,Italy_nan,4.0,10.0
405,2/21/20,Italy_nan,2.5,12.3
406,2/22/20,Italy_nan,3.4,13.4
407,2/23/20,Italy_nan,5.2,14.1
408,2/24/20,Italy_nan,3.9,15.3
409,2/25/20,Italy_nan,6.7,11.5
410,2/26/20,Italy_nan,4.2,10.0
411,2/27/20,Italy_nan,1.0,10.2
412,2/28/20,Italy_nan,3.6,11.0
413,2/29/20,Italy_nan,2.0,10.9
414,3/1/20,Italy_nan,7.3,11.3
415,3/2/20,Italy_nan,5.3,12.8
416,3/3/20,Italy_nan,4.0,10.3
417,3/4/20,Italy_nan,2.7,10.3
418,3/5/20,Italy_nan,2.2,9.1
419,3/6/20,Italy_nan,4.4,13.0
420,3/7/20,Italy_nan,3.9,9.4
421,3/8/20,Italy_nan,3.1,9.9
422,3/9/20,Italy_nan,3.0,9.8
423,3/10/20,Italy_nan,4.1,12.2
424,3/11/20,Italy_nan,4.9,15.7
425,3/12/20,Italy_nan,6.5,15.1
426,3/13/20,Italy_nan,6.7,16.2
427,3/14/20,Italy_nan,7.8,14.7
428,3/15/20,Italy_nan,3.5,11.2
429,3/16/20,Italy_nan,2.1,13.3
430,3/17/20,Italy_nan,6.0,15.1
431,3/18/20,Italy_nan,6.7,15.4
432,3/19/20,Italy_nan,7.3,17.2
433,3/20/20,Italy_nan,7.3,16.5
434,3/21/20,Italy_nan,6.8,16.0
435,3/22/20,Italy_nan,4.9,14.2
436,3/23/20,Italy_nan,-1.4,4.7
437,3/24/20,Italy_nan,-1.5,4.3
438,3/25/20,Italy_nan,-1.0,5.7
439,3/26/20,Italy_nan,0.6,5.6
440,3/27/20,Italy_nan,4.8,10.0
441,3/28/20,Italy_nan,4.9,12.6
442,3/29/20,Italy_nan,5.0,15.2
443,3/30/20,Italy_nan,5.9,14.7
444,3/31/20,Italy_nan,1.8,7.5
445,4/1/20,Italy_nan,-0.2,6.4
446,4/2/20,Italy_nan,-0.7,9.9
447,4/3/20,Italy_nan,2.1,12.5
448,4/4/20,Italy_nan,4.7,14.3
449,4/5/20,Italy_nan,6.0,14.4
450,4/6/20,Italy_nan,6.2,17.3
451,4/7/20,Italy_nan,6.9,18.2
452,4/8/20,Italy_nan,6.7,18.8
453,4/9/20,Italy_nan,6.2,18.6
454,4/10/20,Italy_nan,7.7,20.1
455,4/11/20,Italy_nan,8.7,21.6
456,4/12/20,Italy_nan,8.7,21.7
457,4/13/20,Italy_nan,10.0,18.7
458,4/14/20,Italy_nan,8.0,14.9
459,4/15/20,Italy_nan,4.9,13.3
460,4/16/20,Italy_nan,4.1,17.1
461,4/17/20,Italy_nan,6.7,20.2
462,4/18/20,Italy_nan,8.6,21.1
463,4/19/20,Italy_nan,10.1,20.1
464,4/20/20,Italy_nan,11.1,15.2
465,4/21/20,Italy_nan,9.9,12.7
466,4/22/20,Italy_nan,9.4,11.4
467,4/23/20,Italy_nan,8.4,16.3
468,4/24/20,Italy_nan,7.5,18.4
469,4/25/20,Italy_nan,7.4,18.9
470,4/26/20,Italy_nan,7.3,18.8
471,4/27/20,Italy_nan,8.7,19.2
472,4/28/20,Italy_nan,10.3,14.3
473,4/29/20,Italy_nan,10.0,18.5
474,4/30/20,Italy_nan,7.6,17.7
475,5/1/20,Italy_nan,10.4,17.8
476,5/2/20,Italy_nan,12.4,20.9
477,5/3/20,Italy_nan,10.8,21.9
478,5/4/20,Italy_nan,8.0,22.0
479,5/5/20,Italy_nan,10.2,20.9
480,5/6/20,Italy_nan,10.7,20.8
481,5/7/20,Italy_nan,9.8,20.4
482,5/8/20,Italy_nan,9.6,22.9
483,5/9/20,Italy_nan,9.9,22.2
484,5/10/20,Italy_nan,12.2,21.7
485,5/11/20,Italy_nan,11.6,19.3
486,5/12/20,Italy_nan,12.5,20.6
487,5/13/20,Italy_nan,12.9,24.7
488,5/14/20,Italy_nan,14.4,26.6
489,5/15/20,Italy_nan,12.9,20.0
490,5/16/20,Italy_nan,12.1,22.6
491,5/17/20,Italy_nan,13.8,25.4
492,5/18/20,Italy_nan,14.2,23.8
493,5/19/20,Italy_nan,13.8,19.3
494,5/20/20,Italy_nan,13.4,17.0
